company,city,website,phone,google_rating,google_reviews,intel_json,reply_prob,replied
Synthetic Lead 0000,Miami,https://lead0.example.com,+1-555-0000000,3.828903953001282,18,"{""place_id"": ""synthetic_0000"", ""types"": [""point_of_interest"", ""establishment""]}",0.08463245289065673,0
Synthetic Lead 0001,Tallahassee,https://lead1.example.com,+1-555-0000001,4.662178878593717,11,"{""place_id"": ""synthetic_0001"", ""types"": [""point_of_interest"", ""establishment""]}",0.11970639571390837,1
Synthetic Lead 0002,Miami,https://lead2.example.com,+1-555-0000002,4.217305937092628,52,"{""place_id"": ""synthetic_0002"", ""types"": [""real_estate_agency""]}",0.3388498414471588,0
Synthetic Lead 0003,Tallahassee,https://lead3.example.com,+1-555-0000003,4.058602125426215,15,"{""place_id"": ""synthetic_0003"", ""types"": [""real_estate_agency""]}",0.1185213676074303,0
Synthetic Lead 0004,St. Petersburg,https://lead4.example.com,+1-555-0000004,,0,"{""place_id"": ""synthetic_0004"", ""types"": [""real_estate_agency""]}",0.000552778636923599,0
Synthetic Lead 0005,Orlando,https://lead5.example.com,+1-555-0000005,4.311561009203083,22,"{""place_id"": ""synthetic_0005"", ""types"": [""real_estate_agency""]}",0.19975773144598993,0
Synthetic Lead 0006,Miami,,+1-555-0000006,4.50840709984489,153,"{""place_id"": ""synthetic_0006"", ""types"": [""real_estate_agency""]}",0.49356850522040907,1
Synthetic Lead 0007,Orlando,,+1-555-0000007,3.7001438856653097,4,"{""place_id"": ""synthetic_0007"", ""types"": [""real_estate_agency"", ""finance""]}",0.01443815361631842,0
Synthetic Lead 0008,Tampa,https://lead8.example.com,,3.6792061836893644,50,"{""place_id"": ""synthetic_0008"", ""types"": [""point_of_interest"", ""establishment""]}",0.13629168977371003,0
Synthetic Lead 0009,Orlando,https://lead9.example.com,+1-555-0000009,4.752339607701265,2,"{""place_id"": ""synthetic_0009"", ""types"": [""insurance_agency""]}",0.03289663114672195,0
Synthetic Lead 0010,Naples,,+1-555-0000010,3.993831563897635,26,"{""place_id"": ""synthetic_0010"", ""types"": [""real_estate_agency""]}",0.08504412794147345,0
Synthetic Lead 0011,Orlando,https://lead11.example.com,+1-555-0000011,3.491578953701563,132,"{""place_id"": ""synthetic_0011"", ""types"": [""real_estate_agency""]}",0.3247177476126006,0
Synthetic Lead 0012,Tallahassee,https://lead12.example.com,+1-555-0000012,4.4219063546915525,36,"{""place_id"": ""synthetic_0012"", ""types"": [""real_estate_agency""]}",0.312606050721795,0
Synthetic Lead 0013,Miami,,+1-555-0000013,4.431684903016343,24,"{""place_id"": ""synthetic_0013"", ""types"": [""real_estate_agency""]}",0.12189287514871919,0
Synthetic Lead 0014,Naples,https://lead14.example.com,+1-555-0000014,3.434642371371647,10,"{""place_id"": ""synthetic_0014"", ""types"": [""insurance_agency""]}",0.03680705093857462,0
Synthetic Lead 0015,Orlando,,,4.314740857731803,20,"{""place_id"": ""synthetic_0015"", ""types"": [""real_estate_agency""]}",0.07762059647571132,0
Synthetic Lead 0016,Tampa,https://lead16.example.com,+1-555-0000016,4.567791546214187,14,"{""place_id"": ""synthetic_0016"", ""types"": [""insurance_agency""]}",0.1351657368342639,0
Synthetic Lead 0017,Jacksonville,https://lead17.example.com,+1-555-0000017,,0,"{""place_id"": ""synthetic_0017"", ""types"": [""real_estate_agency"", ""finance""]}",0.000552778636923599,0
Synthetic Lead 0018,Miami,,+1-555-0000018,4.515990741880698,14,"{""place_id"": ""synthetic_0018"", ""types"": [""real_estate_agency""]}",0.0825526790455421,0
Synthetic Lead 0019,St. Petersburg,https://lead19.example.com,+1-555-0000019,3.4978654509546256,25,"{""place_id"": ""synthetic_0019"", ""types"": [""real_estate_agency""]}",0.10419212223959676,0
Synthetic Lead 0020,Orlando,https://lead20.example.com,+1-555-0000020,4.365520077498098,7,"{""place_id"": ""synthetic_0020"", ""types"": [""real_estate_agency""]}",0.0838456809099116,0
Synthetic Lead 0021,Jacksonville,https://lead21.example.com,+1-555-0000021,4.0486901202647765,7,"{""place_id"": ""synthetic_0021"", ""types"": [""real_estate_agency""]}",0.0641561173190113,0
Synthetic Lead 0022,Jacksonville,https://lead22.example.com,,3.958604920637678,3,"{""place_id"": ""synthetic_0022"", ""types"": [""insurance_agency""]}",0.01952262981767532,0
